Helikopter,Typ spodu,Typ skrzydla,Czas lotu
1,Szeroka,Dlugie,4
1,Szeroka,Dlugie,4.05
1,Szeroka,Dlugie,4
1,Szeroka,Dlugie,4.25
1,Szeroka,Dlugie,4.45
1,Szeroka,Srednie,4.3
1,Szeroka,Srednie,4.5
1,Szeroka,Srednie,4
1,Szeroka,Srednie,4.1
1,Szeroka,Srednie,4.7
1,Szeroka,Krotkie,4.1
1,Szeroka,Krotkie,3.55
1,Szeroka,Krotkie,3.85
1,Szeroka,Krotkie,3.25
1,Szeroka,Krotkie,3.5
1,Srednie,Dlugie,3.75
1,Srednie,Dlugie,3.85
1,Srednie,Dlugie,4.25
1,Srednie,Dlugie,4.5
1,Srednie,Dlugie,4.4
1,Srednie,Srednie,3.35
1,Srednie,Srednie,3.9
1,Srednie,Srednie,3.45
1,Srednie,Srednie,3.65
1,Srednie,Srednie,4.1
1,Srednie,Krotkie,3.75
1,Srednie,Krotkie,3.6
1,Srednie,Krotkie,3.45
1,Srednie,Krotkie,3.5
1,Srednie,Krotkie,4.15
1,Cienka,Dlugie,4.8
1,Cienka,Dlugie,4.85
1,Cienka,Dlugie,5.6
1,Cienka,Dlugie,5
1,Cienka,Dlugie,4.65
1,Cienka,Srednie,3.5
1,Cienka,Srednie,3.3
1,Cienka,Srednie,4.3
1,Cienka,Srednie,3.7
1,Cienka,Srednie,3.9
1,Cienka,Krotkie,3.8
1,Cienka,Krotkie,3.65
1,Cienka,Krotkie,3.6
1,Cienka,Krotkie,3.65
1,Cienka,Krotkie,3.7
2,Szeroka,Dlugie,4
2,Szeroka,Dlugie,4.05
2,Szeroka,Dlugie,4
2,Szeroka,Dlugie,4.25
2,Szeroka,Dlugie,4.45
2,Szeroka,Srednie,4.3
2,Szeroka,Srednie,4.5
2,Szeroka,Srednie,4
2,Szeroka,Srednie,4.1
2,Szeroka,Srednie,4.7
2,Szeroka,Krotkie,4.1
2,Szeroka,Krotkie,3.6
2,Szeroka,Krotkie,3.85
2,Szeroka,Krotkie,3.25
2,Szeroka,Krotkie,3.5
2,Srednie,Dlugie,3.75
2,Srednie,Dlugie,3.9
2,Srednie,Dlugie,4.25
2,Srednie,Dlugie,4.5
2,Srednie,Dlugie,4.4
2,Srednie,Srednie,3.25
2,Srednie,Srednie,3.9
2,Srednie,Srednie,3.5
2,Srednie,Srednie,3.65
2,Srednie,Srednie,4.2
2,Srednie,Krotkie,3.75
2,Srednie,Krotkie,3.6
2,Srednie,Krotkie,3.45
2,Srednie,Krotkie,3.5
2,Srednie,Krotkie,4.15
2,Cienka,Dlugie,4.8
2,Cienka,Dlugie,4.85
2,Cienka,Dlugie,5.6
2,Cienka,Dlugie,5
2,Cienka,Dlugie,4.65
2,Cienka,Srednie,3.5
2,Cienka,Srednie,3.35
2,Cienka,Srednie,4.35
2,Cienka,Srednie,3.7
2,Cienka,Srednie,3.9
2,Cienka,Krotkie,3.75
2,Cienka,Krotkie,3.6
2,Cienka,Krotkie,3.55
2,Cienka,Krotkie,3.7
2,Cienka,Krotkie,3.65
